,Outlet,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
0,@BBCWorld,0.7096,0.228,0.0,0.772,1
1,@BBCWorld,0.7096,0.228,0.0,0.772,2
2,@BBCWorld,0.0,0.0,0.0,1.0,3
3,@BBCWorld,0.0,0.0,0.0,1.0,4
4,@BBCWorld,-0.872,0.0,0.497,0.503,5
5,@BBCWorld,0.0,0.0,0.0,1.0,6
6,@BBCWorld,0.0762,0.105,0.0,0.895,7
7,@BBCWorld,-0.3182,0.0,0.223,0.777,8
8,@BBCWorld,0.0,0.0,0.0,1.0,9
9,@BBCWorld,0.5106,0.268,0.0,0.732,10
10,@BBCWorld,0.7506,0.444,0.0,0.556,11
11,@BBCWorld,-0.128,0.0,0.2,0.8,12
12,@BBCWorld,0.4939,0.22,0.106,0.674,13
13,@BBCWorld,0.0,0.0,0.0,1.0,14
14,@BBCWorld,0.5106,0.323,0.0,0.677,15
0,@CBSNews,0.1027,0.076,0.0,0.924,1
1,@CBSNews,0.1027,0.076,0.0,0.924,2
2,@CBSNews,0.4939,0.186,0.0,0.814,3
3,@CBSNews,-0.296,0.0,0.216,0.784,4
4,@CBSNews,-0.34,0.0,0.211,0.789,5
5,@CBSNews,0.4927,0.138,0.0,0.862,6
6,@CBSNews,-0.296,0.066,0.126,0.808,7
7,@CBSNews,0.3182,0.187,0.0,0.813,8
8,@CBSNews,0.5574,0.205,0.0,0.795,9
9,@CBSNews,0.0,0.0,0.0,1.0,10
10,@CBSNews,0.5574,0.213,0.0,0.787,11
11,@CBSNews,-0.8271,0.0,0.339,0.661,12
12,@CBSNews,-0.4404,0.0,0.127,0.873,13
13,@CBSNews,-0.5423,0.0,0.163,0.837,14
14,@CBSNews,0.128,0.18,0.143,0.677,15
0,@CNN,0.0,0.0,0.0,1.0,1
1,@CNN,0.0,0.0,0.0,1.0,2
2,@CNN,0.0772,0.142,0.129,0.73,3
3,@CNN,-0.296,0.0,0.167,0.833,4
4,@CNN,0.0,0.0,0.0,1.0,5
5,@CNN,0.0,0.0,0.0,1.0,6
6,@CNN,-0.4767,0.0,0.237,0.763,7
7,@CNN,0.0,0.0,0.0,1.0,8
8,@CNN,-0.4404,0.0,0.146,0.854,9
9,@CNN,-0.6124,0.0,0.238,0.762,10
10,@CNN,0.0,0.0,0.0,1.0,11
11,@CNN,0.0772,0.148,0.135,0.717,12
12,@CNN,0.296,0.158,0.0,0.842,13
13,@CNN,0.4939,0.158,0.0,0.842,14
14,@CNN,-0.5256,0.0,0.134,0.866,15
0,@FoxNews,0.0,0.0,0.0,1.0,1
1,@FoxNews,0.0,0.0,0.0,1.0,2
2,@FoxNews,0.0,0.0,0.0,1.0,3
3,@FoxNews,-0.4588,0.0,0.158,0.842,4
4,@FoxNews,0.1695,0.094,0.0,0.906,5
5,@FoxNews,-0.3612,0.11,0.167,0.722,6
6,@FoxNews,-0.6808,0.0,0.272,0.728,7
7,@FoxNews,0.7351,0.279,0.0,0.721,8
8,@FoxNews,0.0,0.0,0.0,1.0,9
9,@FoxNews,-0.25,0.0,0.111,0.889,10
10,@FoxNews,0.0,0.0,0.0,1.0,11
11,@FoxNews,0.0191,0.081,0.077,0.842,12
12,@FoxNews,-0.2263,0.0,0.192,0.808,13
13,@FoxNews,0.0,0.0,0.0,1.0,14
14,@FoxNews,0.3818,0.126,0.0,0.874,15
0,@nytimes,-0.4588,0.0,0.188,0.812,1
1,@nytimes,-0.4588,0.0,0.188,0.812,2
2,@nytimes,-0.6597,0.122,0.313,0.565,3
3,@nytimes,0.2235,0.136,0.0,0.864,4
4,@nytimes,0.0,0.0,0.0,1.0,5
5,@nytimes,-0.7717,0.0,0.251,0.749,6
6,@nytimes,-0.6597,0.122,0.313,0.565,7
7,@nytimes,0.25,0.12,0.08,0.8,8
8,@nytimes,0.0,0.0,0.0,1.0,9
9,@nytimes,-0.5994,0.0,0.163,0.837,10
10,@nytimes,0.0,0.0,0.0,1.0,11
11,@nytimes,0.0,0.0,0.0,1.0,12
12,@nytimes,-0.3818,0.0,0.106,0.894,13
13,@nytimes,0.34,0.118,0.0,0.882,14
14,@nytimes,0.0,0.0,0.0,1.0,15
